Circuit,NumQubits,NumLayers,NoiseProbability,UseTracked,MeasuredError
HEA,10,50,0,1,0
HEA,10,50,0,0,0
HEA,10,50,0.02,1,0.000473908
HEA,10,50,0.02,0,0
HEA,10,50,0.04,1,5.70036e-08
HEA,10,50,0.04,0,0
HEA,10,50,0.06,1,3.00354e-11
HEA,10,50,0.06,0,0
HEA,10,50,0.08,1,2.50883e-12
HEA,10,50,0.08,0,0
HEA,10,50,0.1,1,2.48286e-14
HEA,10,50,0.1,0,0
HEA,10,50,0.12,1,3.71377e-15
HEA,10,50,0.12,0,0
HEA,10,50,0.14,1,1.03285e-16
HEA,10,50,0.14,0,0
HEA,10,50,0.16,1,6.69974e-17
HEA,10,50,0.16,0,0
HEA,10,50,0.18,1,1.17649e-17
HEA,10,50,0.18,0,0
HEA,10,50,0.2,1,1.5838e-17
HEA,10,50,0.2,0,0
HEA,10,50,0.22,1,3.7491e-18
HEA,10,50,0.22,0,0
HEA,10,50,0.24,1,3.94314e-18
HEA,10,50,0.24,0,0
HEA,10,50,0.26,1,9.4354e-19
HEA,10,50,0.26,0,0
HEA,10,50,0.28,1,2.40103e-18
HEA,10,50,0.28,0,0
HEA,10,50,0.3,1,7.69653e-19
HEA,10,50,0.3,0,0
HEA,10,50,0.32,1,1.22241e-18
HEA,10,50,0.32,0,0
HEA,10,50,0.34,1,8.38164e-19
HEA,10,50,0.34,0,0
HEA,10,50,0.36,1,6.74922e-19
HEA,10,50,0.36,0,0
HEA,10,50,0.38,1,1.42901e-18
HEA,10,50,0.38,0,0
HEA,10,50,0.4,1,1.53158e-18
HEA,10,50,0.4,0,0
HEA,10,50,0.42,1,1.46442e-19
HEA,10,50,0.42,0,0
HEA,10,50,0.44,1,5.30972e-19
HEA,10,50,0.44,0,0
HEA,10,50,0.46,1,8.93357e-19
HEA,10,50,0.46,0,0
HEA,10,50,0.48,1,3.55193e-20
HEA,10,50,0.48,0,0
HEA,10,50,0.5,1,0
HEA,10,50,0.5,0,0
